Mashine_code,E_TIME,INGOT_ID,LOT_ID,BRICK_ID,WIRESAW_TOOL_ID,WAFER_ID,BIN_NUM,SORTING_NAME,CSI_left,CSI_right,CSI_front,CSI_rear,TMEAN,TMIN,TMAX,TTV,ETV,ETTV,RMEAN,RMAX,RMIN,"SMART1 GROOVE","SMART1 Surfce GROOVE",STEP,BOW,WARP,PN_TYPE,"SMART2 GROOVE","SMART2 Surface GROOVE",STAIN_TOP,STAIN_BTM,top_chip,btm_chip,WIDTH,LENGTH,DIAMETER_45,DIAMETER_135,Chamfer_TL,Chamfer_TR,Chamfer_BL,Chamfer_BR,RECTANGULARITY_TL,RECTANGULARITY_TR,RECTANGULARITY_BL,RECTANGULARITY_BR,ChamferX_TL,ChamferX_TR,ChamferX_BR,ChamferX_BL,ChamferY_TL,ChamferY_TR,ChamferY_BR,ChamferY_BL,Pinhole,Crack,Inclusion,RECIPE
"FAB2-Tool52 2-A1","20190628 11:11:28",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,13,7," A+",0,0,0,0,180.821,177.213,184.184,6.971,,,1.574,1.633,1.539,4.550,7.055,4.550,2.664,17.933,,,,0,0,0,0,156.880,156.955,220.233,220.226,1.644,1.429,1.736,1.698,-0.044,0.029,0.011,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:28",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,14,7," A+",0,0,0,0,180.606,177.85,184.197,6.348,,,1.594,1.659,1.557,3.806,6.776,4.673,5.137,17.996,,,,0,0,0,0,156.877,156.949,220.230,220.225,1.634,1.423,1.731,1.693,-0.047,0.032,0.012,0.002,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:29",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,15,7," A+",0,0,0,0,183.608,180.278,187.82,7.542,,,1.574,1.648,1.538,3.741,6.923,4.821,3.733,17.533,,,,0,0,0,0,156.880,156.951,220.229,220.239,1.640,1.431,1.720,1.690,-0.046,0.032,0.009,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:29",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,16,7," A+",0,0,0,0,181.691,178.784,185.168,6.384,,,1.591,1.660,1.553,4.075,7.666,5.065,4.885,17.476,,,,0,0,0,0,156.882,156.955,220.237,220.229,1.663,1.430,1.706,1.698,-0.045,0.029,0.012,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:30",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,17,7," A+",0,0,0,0,181.004,177.574,184.176,6.602,,,1.582,1.637,1.551,3.268,6.971,4.443,3.579,18.229,,,,0,0,0,0,156.877,156.948,220.225,220.218,1.656,1.431,1.726,1.701,-0.048,0.034,0.011,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:30",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,18,7," A+",0,0,0,0,182.448,179.83,185.696,5.866,,,1.574,1.643,1.545,3.458,7.324,4.874,2.977,16.406,,,,0,0,0,0,156.879,156.950,220.233,220.221,1.638,1.435,1.743,1.692,-0.047,0.029,0.013,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:31",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,19,7," A+",0,0,0,0,180.789,177.791,184.103,6.312,,,1.574,1.640,1.545,3.817,7.252,5.546,6.102,17.626,,,,0,0,0,0,156.878,156.950,220.222,220.234,1.633,1.424,1.733,1.695,-0.051,0.036,0.009,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:31",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,20,7," A+",0,0,0,0,181.359,178.575,185.357,6.782,,,1.620,1.676,1.587,3.666,7.024,4.992,4.233,16.661,,,,0,0,0,0,156.880,156.950,220.228,220.234,1.652,1.427,1.714,1.689,-0.048,0.034,0.008,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:32",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,21,7," A+",0,0,0,0,180.737,177.198,185.226,8.029,,,1.584,1.651,1.556,3.625,6.606,5.275,1.666,16.507,,,,0,0,0,0,156.874,156.945,220.213,220.223,1.665,1.435,1.702,1.698,-0.048,0.035,0.01,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:32",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,22,7," A+",0,0,0,0,180.001,176.642,182.508,5.866,,,1.571,1.613,1.536,3.624,7.189,5.291,4.746,16.773,,,,0,0,0,0,156.882,156.953,220.243,220.221,1.654,1.421,1.738,1.678,-0.045,0.031,0.01,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:33",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,23,7," A+",0,0,0,0,182.284,179.072,186.705,7.633,,,1.578,1.644,1.542,3.510,6.438,4.702,6.215,17.440,,,,0,0,0,0,156.880,156.953,220.240,220.232,1.629,1.426,1.734,1.692,-0.046,0.03,0.012,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:33",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,24,7," A+",0,0,0,0,180.725,177.855,185.077,7.222,,,1.574,1.626,1.549,3.769,6.543,4.720,2.918,16.836,,,,0,0,0,0,156.881,156.949,220.231,220.229,1.654,1.430,1.719,1.694,-0.048,0.034,0.01,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:34",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,25,7," A+",0,0,0,0,181.660,178.199,184.092,5.893,,,1.574,1.635,1.534,3.482,6.784,4.592,4.183,16.718,,,,0,0,0,0,156.878,156.948,220.214,220.226,1.670,1.432,1.707,1.706,-0.05,0.039,0.008,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:35",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,26,7," A+",0,0,0,0,181.678,178.282,186.499,8.218,,,1.594,1.649,1.556,3.945,6.786,4.811,4.565,16.663,,,,0,0,0,0,156.882,156.954,220.242,220.230,1.662,1.424,1.723,1.689,-0.048,0.031,0.013,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:35",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,27,7," A+",0,0,0,0,181.009,177.279,183.771,6.491,,,1.578,1.638,1.547,3.635,6.093,4.968,4.714,17.519,,,,0,0,0,0,156.875,156.946,220.226,220.220,1.643,1.425,1.743,1.702,-0.046,0.032,0.01,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:36",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,28,7," A+",0,0,0,0,180.320,177.291,185.003,7.712,,,1.574,1.638,1.536,3.514,6.671,5.281,2.959,15.640,,,,0,0,0,0,156.876,156.945,220.225,220.230,1.637,1.436,1.725,1.685,-0.05,0.037,0.007,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:36",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,29,7," A+",0,0,0,0,181.508,177.445,184.431,6.986,,,1.581,1.647,1.539,4.680,6.194,5.200,2.197,16.727,,,,0,0,0,0,156.876,156.949,220.216,220.226,1.667,1.426,1.710,1.714,-0.048,0.035,0.008,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:37",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,30,7," A+",0,0,0,0,181.095,178.468,184.573,6.105,,,1.576,1.636,1.541,5.041,7.339,6.766,3.863,17.787,,,,0,0,0,0,156.881,156.951,220.231,220.234,1.662,1.424,1.707,1.698,-0.049,0.034,0.009,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:37",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,31,7," A+",0,0,0,0,181.801,177.527,186.818,9.291,,,1.578,1.642,1.540,8.516,6.937,9.254,4.585,17.363,,,,0,0,0,0,156.884,156.955,220.252,220.231,1.648,1.411,1.736,1.696,-0.044,0.027,0.012,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:38",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,32,7," A+",0,0,0,0,181.189,178.216,184.541,6.325,,,1.605,1.678,1.573,12.571,10.357,12.887,4.227,19.975,,,,0,0,0,0,156.878,156.949,220.236,220.226,1.632,1.419,1.735,1.691,-0.049,0.034,0.014,0.002,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:38",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,33,7," A+",0,0,0,0,181.496,177.133,186.967,9.834,,,1.577,1.644,1.535,13.178,9.433,13.210,3.675,17.123,,,,0,0,0,0,156.881,156.954,220.235,220.227,1.672,1.421,1.731,1.709,-0.047,0.032,0.011,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:37",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,34,4," SM_A",0,0,0,0,180.693,176.214,184.18,7.965,,,1.573,1.647,1.533,22.089,16.408,22.440,4.719,17.178,,,,0,0,0,0,156.883,156.952,220.236,220.235,1.668,1.424,1.711,1.707,-0.048,0.034,0.011,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:37",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,35,4," SM_A",0,0,0,0,180.355,175.499,187.697,12.198,,,1.576,1.665,1.538,16.056,16.459,16.771,1.411,19.737,,,,0,0,0,0,156.879,156.950,220.237,220.219,1.661,1.420,1.724,1.705,-0.048,0.033,0.013,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:40",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,36,7," A+",0,0,0,0,180.618,178.383,183.162,4.779,,,1.574,1.642,1.545,10.113,10.949,11.657,3.533,18.813,,,,0,0,0,0,156.885,156.951,220.253,220.226,1.641,1.410,1.738,1.695,-0.044,0.028,0.014,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:40",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,37,7," A+",0,0,0,0,182.352,177.91,187.425,9.515,,,1.581,1.659,1.549,11.759,10.741,13.319,4.180,19.383,,,,0,0,0,0,156.884,156.953,220.249,220.224,1.659,1.415,1.728,1.694,-0.046,0.026,0.013,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:41",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,38,7," A+",0,0,0,0,181.909,179.455,186.216,6.761,,,1.574,1.650,1.549,5.890,5.876,6.287,3.328,17.463,,,,0,0,0,0,156.881,156.949,220.232,220.222,1.671,1.418,1.714,1.709,-0.049,0.033,0.012,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:41",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,39,7," A+",0,0,0,0,180.261,176.861,183.01,6.149,,,1.574,1.652,1.545,3.662,5.919,5.707,3.221,18.468,,,,0,0,0,0,156.879,156.949,220.242,220.214,1.671,1.404,1.737,1.700,-0.046,0.032,0.01,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:42",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,40,7," A+",0,0,0,0,182.216,177.612,186.425,8.812,,,1.583,1.658,1.559,5.239,5.674,5.784,2.316,17.891,,,,0,0,0,0,156.877,156.950,220.237,220.220,1.648,1.414,1.742,1.692,-0.046,0.032,0.01,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:42",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,41,7," A+",0,0,0,0,180.090,176.602,182.892,6.291,,,1.572,1.640,1.543,5.484,5.573,6.050,4.599,19.389,,,,0,0,0,0,156.888,156.958,220.259,220.232,1.661,1.415,1.727,1.687,-0.044,0.029,0.011,0.004,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:43",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,42,7," A+",0,0,0,0,181.624,178.199,185.033,6.834,,,1.575,1.649,1.547,3.574,5.545,5.956,5.223,18.715,,,,0,0,0,0,156.879,156.950,220.231,220.214,1.683,1.412,1.720,1.710,-0.049,0.032,0.011,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:43",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,43,7," A+",0,0,0,0,180.402,177.345,184.173,6.828,,,1.584,1.652,1.556,4.532,5.882,5.105,3.746,18.631,,,,0,0,0,0,156.881,156.952,220.246,220.214,1.676,1.406,1.730,1.698,-0.046,0.03,0.013,0.002,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:44",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,44,7," A+",0,0,0,0,182.138,178.814,185.656,6.842,,,1.573,1.648,1.538,3.698,5.725,4.493,4.092,18.555,,,,0,0,0,0,156.879,156.952,220.245,220.218,1.655,1.408,1.744,1.694,-0.045,0.028,0.012,0.005,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:44",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,45,7," A+",0,0,0,0,180.837,177.595,183.801,6.207,,,1.585,1.661,1.551,4.157,5.676,5.036,1.468,18.369,,,,0,0,0,0,156.880,156.949,220.242,220.230,1.653,1.402,1.717,1.679,-0.05,0.036,0.012,0.003,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
"FAB2-Tool52 2-A1","20190628 11:11:45",HPD21906233029,HPD21906233029,HPD21906233029,SJ12,46,7," A+",0,0,0,0,180.362,177.199,183.914,6.716,,,1.575,1.636,1.550,4.606,5.783,5.574,0.235,19.110,,,,0,0,0,0,156.873,156.947,220.229,220.222,1.669,1.413,1.707,1.691,-0.05,0.038,0.007,0.006,,,,,,,,,0,0,0,"Jinko DW Multi V2-157-180.csv"
